era,variant,engine,.metric,.estimate
1940,"xgboost depth=4, eta=0.1",xgboost,kap,0.42781251369261886
1940,"xgboost depth=4, eta=0.1",xgboost,mn_log_loss,1.110499102182224
1940,"xgboost depth=4, eta=0.1",xgboost,roc_auc,0.7953122670046652
1940,"xgboost depth=4, eta=0.1",xgboost,f_meas,0.7040000000000001
1950,"xgboost depth=4, eta=0.1",xgboost,accuracy,0.7067421027817068
1950,"xgboost depth=4, eta=0.1",xgboost,kap,0.41418414144177107
1950,"xgboost depth=4, eta=0.1",xgboost,mn_log_loss,1.0805284675348037
1950,"xgboost depth=4, eta=0.1",xgboost,roc_auc,0.7788868153118934
1950,"xgboost depth=4, eta=0.1",xgboost,f_meas,0.7009615384615384
1940,"xgboost depth=4, eta=0.3",xgboost,accuracy,0.6933115823817292
1940,"xgboost depth=4, eta=0.3",xgboost,kap,0.3871613591102343
1940,"xgboost depth=4, eta=0.3",xgboost,mn_log_loss,1.3880618691705213
1940,"xgboost depth=4, eta=0.3",xgboost,roc_auc,0.7564366625481967
1940,"xgboost depth=4, eta=0.3",xgboost,f_meas,0.6915504511894996
1950,"xgboost depth=4, eta=0.3",xgboost,accuracy,0.6963696369636964
1950,"xgboost depth=4, eta=0.3",xgboost,kap,0.3923268769291137
